"Species","Area","Units","Country","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006"
"ALF","27","TLW","RU",0,0,0,0,0,0,0,5,0,0,0,0
"ALK","27","TLW","FR",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
"ALM","27","TLW","ES",0,0,0.01,0,0.01,0,0,0,0,0,0,0
"ALR","27","TLW","EE",0.03,0.11,1.36,0.15,0,0,0,0,0,0,0,0
"ALR","27","TLW","FR",0,0,0,0,0,0,0,0,0.8,0,0,0
"ALR","27","TLW","LV",0,0,0,0,0,0.01,0,0,0,0,0,0
"ALR","27","TLW","RU",2,2,3,2,2,1,2,7,0,7,0,0
"ALV","27","TLW","ES",0,0,0,0.01,0,0.02,0.01,0.1,36.63,39.03,34.1,40.7
"ALV","27","TLW","FR",55.62,35.02,38.83,40.96,32.31,32.24,49.5,23.9,33.1,1.6,31.1,22.5
"ALV","27","TLW","IE",0,0,0,0,0,0,0,0,0,0,0,0.3
"ALV","27","TLW","PT",0,0,0.92,1.5,1.28,0.64,0,15,64.02,62.03,86.04,105.5
"AMB","27","TLW","ES",6.51,4.58,5.63,5.65,2.65,1.18,14.32,3.9,2.4,6.01,11.5,3.3
"AMB","27","TLW","FR",0,0,0.22,0.54,0.23,0.43,2.24,2.2,4.9,0,0,0
"AMB","27","TLW","PT",28.11,47.34,43.95,22.44,28.87,27.97,37.76,38,48.02,64.01,0.03,0.1
"AMX","27","TLW","ES",0.03,0.03,0,0,0,0,0,0,0,0,0,0
"AMX","27","TLW","PT",0,0.04,0,0.01,0,0,0.02,0,12,1,89,75.3
"ANE","27","TLW","DE",11.02,86.47,473.42,45.95,352.8,396.7,0,200,16.01,0,37.5,30.8
"ANE","27","TLW","DK",12043,139.29,5716.97,53.12,0,0,0,20.2,0,0,156,158
"ANE","27","TLW","ES",26440.03,24526.17,29766.17,22820.2,17255.43,15645.12,16236.27,8761.3,2205.41,2575.01,4540.8,4804.8
"ANE","27","TLW","FR",3172.18,2404.34,4594.74,4681.1,2636.24,6660.34,4243,5933.3,900.6,10,148.5,913.9
"ANE","27","TLW","GB",156.08,358.93,37.66,767.2,10.36,50.9,503.3,319.6,353.6,176.02,939.52,0.03
"ANE","27","TLW","IE",0,0,48.98,0,0,0,0,0,0,0,0,0
"ANE","27","TLW","NL",67.23,215.3,1679.3,9.7,4,3,31,1,1,9,9,4
"ANE","27","TLW","NO",0,0,0,0,0,0,0,0,0,0,136,0
"ANE","27","TLW","PT",9144.17,7107.86,2617.08,827.11,386.52,786.4,2920.2,130,72.01,335,874,111
"ANE","27","TLW","RU",0,0,0,0,0,97,0,0,0,0,0,0
"ANE","27","TLW","SE",0,0,0.11,0,0,0,0,0,0,0,0,0
"ANF","27","TLW","BE",1577.7,1432.7,1104.1,993.4,1633.1,1715.5,1278.5,1031,852.9,963.9,1363.2,1192.5
"ANF","27","TLW","DE",1147.81,848.21,857.75,841.23,741.96,687.32,468.41,641,625.3,737.6,632.2,298.6
"ANF","27","TLW","ES",5366.39,5420.09,4891.12,5532.44,5312.17,0,0,0,0,0,0,4218.1
"ANF","27","TLW","FR",23545.29,23874.84,0,0,0,0,0,0,0,0,0,0
"ANF","27","TLW","GB",20331.9,20484.5,18163.42,15841.04,13561.57,13336.2,15124.2,14392.1,15072,15430,0,0
"ANF","27","TLW","IE",4213.6,0,0,0,3741.58,3844.67,0,0,0,0,0,0
"ANF","27","TLW","IM",0,0,0,0,0,1,0,0,0,0,0,0
"ANF","27","TLW","JE",0,0.311,1.141,0.844,0.348,0.041,1.166,0.123,0.399,0.24,0.262,0.258
"ANF","27","TLW","NL",0,0,0.7,3,0,0,0,0,0,0,0,0
"ANF","27","TLW","PT",57.53,70.41,57.94,49.69,46.93,92.68,64.69,6,3,0,0,0.31
"ANF","27","TLW","SE",18.4,64.22,0,0,0,0,0,0,0,0,0,0
"ANG","27","TLW","FR",0,0,0,0,0,0,0,0,0,0.2,0.2,2.5
"ANG","27","TLW","PT",0.15,0,0.13,0.15,0,0,0.82,3,0.02,2.02,6,0.01
"ANK","27","TLW","ES",123.76,146.83,114.8,66.98,76.63,0,0,0,0,0,0,0
"ANK","27","TLW","PT",327.15,243.75,244.68,131.12,158.86,144.07,22.57,20,25,43.01,13.01,3.11
"ANN","27","TLW","ES",29.02,5.64,0.56,1.06,4.51,0,0,0,0,0,0,0
"ANN","27","TLW","FR",0.16,0,0,0,0.01,0,0.05,0,0,0,0,0
"ANN","27","TLW","PT",73.82,66.49,73.63,68.47,85.86,56.66,51.68,31,45.01,56.01,31.01,46.2
"ANT","27","TLW","FR",0,0,0,0,0,0,0.97,0,0,0,0,0
"ANT","27","TLW","GB",0,0,0,0,0,0.1,0,0,0,0,0,0
"ANT","27","TLW","IE",0,0.43,0,0,0,0,0,0,0,0,0.2,0
"APB","27","TLW","PL",10.59,0,0,0,0,0,0,0,0,0,0,0
"APH","27","TLW","PT",2.39,0,0,0,16.26,160.23,0,0,0,0,0,0
"API","27","TLW","ES",0,0,0,0,0,0,0,0,0,0,0,1.6
"API","27","TLW","FR",0,0,0.06,0.22,0.5,0.62,0.39,0,0,0.01,0.01,0
"APL","27","TLW","RU",0,0,0,0,0,82,0,0,0,0,0,0
"APO","27","TLW","DE",0,0,0,0,0,0,0,0,0,0,0,0.2
"APO","27","TLW","IE",0.01,0,0,0,0,0,0,0,0,0,211.9,314.9
"APO","27","TLW","PT",0,0,0,0,0,0,0,0,0.01,0.01,0.01,0
"APQ","27","TLW","GB",0,0,0,0,0.04,0,0,0,0,0,0,0
"APU","27","TLW","ES",0.74,0.83,0.88,0.63,0.88,0,0,0,0,0,0,0
"APU","27","TLW","FR",0,7.37,22.37,13.03,6.54,124.35,0.37,0,0,0,0,0
"APU","27","TLW","LV",0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
"APU","27","TLW","PT",0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0
"ARA","27","TLW","PT",80.12,98.94,46.76,53.82,71.49,46.4,43.97,40,25,28,66,30.9
"ARG","27","TLW","DE",2.12,14.28,0.4,0,0,0,0,0,0,0,588.5,219.3
"ARG","27","TLW","DK",11,54.61,0,0,0,0,0,0.01,0.01,0.01,0,0
"ARG","27","TLW","ES",46.8,58.39,0.49,0.73,0.95,24.33,10.93,16.2,6.75,27.01,40.3,50.2
"ARG","27","TLW","FO",11729.188,13179.107,14154.619,12050,14306,12601,19233,18627,18193,15921,14339,12576
"ARG","27","TLW","FR",0.58,0.07,0.67,0,0,1.76,4.38,0,0,0,0,0
"ARG","27","TLW","GB",3.24,0,0,0,0,0,0,0,0,0,0,5
"ARG","27","TLW","GL",665,0.9,0,4,0,0,0,0,0,0,0,0
"ARG","27","TLW","IE",3.7,4.98,0,0,0.86,0.12,0.13,0.2,0.5,0,0,0
"ARG","27","TLW","IS",0,0,11,7171,7334,9377,10461,16568.5,11644,9038,4246.3,4768.8
"ARG","27","TLW","NL",0,0,0,0,0,0,1488,0,1790,0,0,0
"ARG","27","TLW","NO",12413.28,12859.98,11999.63,11765.99,11978.79,12003.32,11483.2,11535.81,11930.01,11849.1,12553,20744
"ARG","27","TLW","PL",0,0.74,0.46,0,0,0,0,0,0,0,0,0
"ARG","27","TLW","PT",0.06,0,0,0,0.25,0.15,0.98,2,2,0.01,1,0.41
"ARG","27","TLW","RU",41,20,115,360,127,111,8,13,64,20,9,39
"ARG","27","TLW","SE",0,0.52,0,0.2,0.2,0,0,0,0,0.1,0,0.02
"ARI","27","TLW","ES",39.73,47.67,30.14,68.47,75.6,13.47,13.23,2.81,5.41,12.01,1.83,0.2
"ARS","27","TLW","PT",3.93,5.02,2.95,1.39,0.5,1.36,0.56,0,0.01,0.01,0,1.9
"ARU","27","TLW","DE",584.48,305.75,1066.09,1222.91,416.77,537.7,0.32,0,30.3,0,0,0
"ARU","27","TLW","DK",68,88.8,58.47,751.18,396.12,0,0,0,0,0,0,335
"ARU","27","TLW","ES",0.77,0.1,0.17,0.13,1.95,0,0,0,0,0,0,0
"ARU","27","TLW","FR",0.02,0.55,0.12,0.62,2.21,1.66,4.76,0,0,0.01,0.01,0
"ARU","27","TLW","GB",0,0,0,0,0,4.6,9,95.2,6,0.01,0,0
"ARU","27","TLW","IS",4632,5618,6188,0,0,0,0,0,0,0,0,0
"ARU","27","TLW","NL",3437.96,2500.7,2118.6,2791.1,1430,1785,1562,2903,0,3026,3866,1062
"ARU","27","TLW","NO",10.39,146.47,60.43,190.32,258.38,31.72,217.36,664.49,863,985.6,2205,1820.01
"ARV","27","TLW","PT",0,0,0,0,1.54,1.63,0.01,0,0,0.01,0.01,0
"ARY","27","TLW","DE",790.35,762.64,1034.7,171.96,309.44,1143.21,0,0,84.8,10.1,0,0
"ARY","27","TLW","DK",11,0,0,0,0,0,0,0,0,0,0,0
"ARY","27","TLW","ES",17.01,14.35,8.03,15.58,9.27,0,0,0,0,0,0,0
"ARY","27","TLW","FR",0,0,0,0,0,0.02,0,9.5,12.9,0,0.01,0
"ARY","27","TLW","NL",871.71,1.1,0,2,0,1662,787,248,698,1130,3103,3566
"ARY","27","TLW","NO",5362.03,5829.86,3180.14,2513.99,996.45,327.37,360.82,670.81,785,592.8,1651,2584
"ASD","27","TLW","ES",0.41,0.97,4.6,0.12,0.46,0,0,0,0,0,0,0
"ASD","27","TLW","FR",8.6,13.11,10.45,13.15,10.07,0.2,0.8,1,0.7,12.51,8.31,10.2
"ASD","27","TLW","NL",0,0,0,0,0,0,1,0,0,0,0,0
"ASD","27","TLW","PT",132.77,68.72,37.56,66.12,71.78,34.23,27.16,19,58,40,38,18.4
"ASK","27","TLW","ES",0,0,0.03,0.27,0,0,0,0,0,0,0,0
"ASK","27","TLW","PT",0,0,0,0.69,0,0,0,0,1,1,1,0.5
"ASN","27","TLW","FR",0,0.05,0,4.4,1.5,0,0,0,0,0,0,4260.9
"ASN","27","TLW","IS",0,0,0,0,0,0,0,0,0,0,0,17829
"ASU","27","TLW","LT",0,0,0,0.02,0,0,0,0,0,0,0,0
"ASU","27","TLW","LV",0.04,0.05,0.01,0,0,0,0,0,0,0,0,0
"ASU","27","TLW","PL",7.05,5.64,5.76,0,4.07,2.19,2.32,3.11,4.6,4.4,3.6,2.9
"ATB","27","TLW","ES",1.2,0.77,0.32,0.03,0.12,0,0,0,0,0,0,0
"ATG","27","TLW","FR",0,0,0,0,0,0,0,0,0,0.02,0.02,0
"ATP","27","TLW","ES",0.99,0.04,1.68,0.29,0.05,0,0,0,0,0,0,0
"ATP","27","TLW","GB",0,0,0,0.01,0,0,0,0,0.01,0.01,0,8
"ATP","27","TLW","PT",24.18,16.11,11.67,8.01,3.91,8.32,3.83,2,2,2,8,5.4
"AUU","27","TLW","PT",0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01
"AWM","27","TLW","PT",0,0,0,0,0.01,0,0.03,0,0,0,0,0
"BAH","27","TLW","FR",0,0,0,0,0,0,0,0,1.1,0,0,0
"BAR","27","TLW","ES",4.54,9.32,0.72,2.5,6.1,3.83,5.05,10.1,2.9,1.01,1.21,0.6
"BAR","27","TLW","FR",0.67,1.25,1.06,0.53,4.2,5.02,7.81,3.4,5.2,0,0,0
"BAR","27","TLW","PT",2.05,0,0,0,0,0,0,63,59,49,41.03,41.82
"BAS","27","TLW","ES",2.21,2.1,1.71,1.1,2.23,0,0,0,0,0,0,0
"BAS","27","TLW","FR",7.35,20.61,0.33,0.02,2.16,1.26,2.25,0,0,0,0,0
"BAS","27","TLW","PT",15.19,32.36,23.15,32.26,27.37,30.89,27.42,76,106,120.02,101.01,69.61
"BBH","27","TLW","PT",0,0,0,0,0,0,0.53,0,0,0,0,0
"BBS","27","TLW","ES",34.84,48.26,30.17,13.58,12.62,0,0,0,0,0,0,0
"BBS","27","TLW","FR",0.03,0,0,0,0,0,0,0,0,5.4,5.3,4.9
"BDL","27","TLW","ES",10.03,9.86,9.63,0.11,0,0,0,0,0,0,0,0
"BDY","27","TLW","PT",3.19,3.87,2.8,3.43,2.07,1.27,0.93,2,2,2,0,0
"BEN","27","TLW","ES",0.02,0.1,0.08,0.05,0.06,0,0,0,0,0,0,0
"BEN","27","TLW","SE",0,0,0.01,0,0,0,0,0,0,0,0,0
"BER","27","TLW","GB",0.02,0.03,0,0,0,0.1,0.13,0,0,0,0,0
"BET","27","TLW","CN",0,0,0,0,0,0,0,0,0,0,5,58
"BET","27","TLW","ES",2520.49,2089.22,1101.96,1240.02,247.87,97.98,439.5,91.6,194.64,83.05,165.5,16.6
"BET","27","TLW","FR",320.47,246,0.87,0.03,3.1,42.94,0.61,0,1.1,0,261.5,12.2
"BET","27","TLW","GB",0.3,0,0,0,0,0,0,0,0,0,0,0
"BET","27","TLW","IE",0.15,2.48,0,0,0,0,0,0,0,0,3.2,0
"BET","27","TLW","JP",0,0,0,0,0,0,0,1,2,12,12,21
"BET","27","TLW","PT",768.81,530.16,1393.46,2268.57,4122.48,5228.34,5769.15,2651,2745.03,1450,1257.03,1184.9
"BET","27","TLW","TW",0,0,0,0,0,0,0,0,0,0,8,0
"BFT","27","TLW","CN",64,54,45,37,38,36,36,38,41,118,72,42
"BFT","27","TLW","ES",829.16,664.81,0.17,0,0,135.18,1142.8,618.8,1080.51,2831.01,3092.31,1217.8
"BFT","27","TLW","FO",0,0,0.13,1,1,0,0,0,0,0,0,0
"BFT","27","TLW","FR",367.39,344.89,302.49,228.06,234.47,301.89,150.22,210.3,400.4,129.5,637.01,1217.4
"BFT","27","TLW","GB",0,2.98,0,0,0,0,0,0,0.6,0.01,0,0.01
"BFT","27","TLW","GL",0,0.2,1.876,13,0,0,0,0,0,0,0,0
"BFT","27","TLW","IE",16.02,34.3,15.89,19.42,13.11,11.14,4.39,2.2,1,0.9,0.31,2.31
"BFT","27","TLW","IS",0,0,0,31,4,5,2.35,0,0,0,0,0
"BFT","27","TLW","JP",1911,1578,1386,1121,1129,1093,1092,1140,1886,1808,1387,1072
"BFT","27","TLW","KR",157,139,0,0,0,0,0,0,0,0,0,0
"BFT","27","TLW","NL",0.39,1.8,0,0,0,0,0,0,0,0,0,0
"BFT","27","TLW","NO",49.96,43.77,8.3,0.11,0.31,0,0,0,0,0.3,0,0
"BFT","27","TLW","PT",413.06,320.21,0,42.42,235,223.35,180.52,58,46.01,36,28,35.5
"BFT","27","TLW","SE",2.03,0,0,0,0,0,0,0,0,0,0,0
"BGR","27","TLW","PT",0,0,0,0,0.03,0.3,0.41,0,0,0,0,0
"BGX","27","TLW","PT",0,0,0.79,0,0.68,0.84,1.84,1,2.01,3,0,0
"BHD","27","TLW","ES",4.52,8.7,7.96,2.95,0.19,0,0,0,0,0,0,0
"BHD","27","TLW","PT",24.27,24.58,31.69,32.92,42.23,39.67,54.26,56,53,56,55,69
"BHY","27","TLW","ES",1.45,0.25,0.21,0.1,0.14,0,0,0,0,0,0,0
"BIB","27","TLW","BE",354.1,362.8,388.3,448.4,299.4,317.6,405.2,413.1,424.6,578.2,573.9,472.3
"BIB","27","TLW","DE",0,40.07,0,7.4,0,0,0,0,0,0,0,0
"BIB","27","TLW","DK",2,4.99,0.03,4.5,0.03,0.01,0.22,0.02,0.03,0.01,0.04,0.04
"BIB","27","TLW","ES",1295.19,1667.75,1389.78,1992.95,2766.39,3578.66,2572.86,2287.01,2099.1,2134.02,1407.7,2458.2
"BIB","27","TLW","FR",3814.41,3405.12,3547.9,4204.25,3777.23,3959.42,5435.8,5668,5889.8,3897.52,4903.13,6060.2
"BIB","27","TLW","GB",722.52,773.01,658.62,973.91,880.53,983,1023.52,933.1,845.64,722.09,566.42,700.07
"BIB","27","TLW","GG",0.572,1.082,1.4,2,3,1,3,2,4,2,1,5
"BIB","27","TLW","IE",0.1,0.19,0.06,2.05,0.14,0.04,3.56,0.71,0.7,4.91,2.1,2.82
"BIB","27","TLW","JE",0,0.76,1.1,0.85,1.38,1.07,1.14,1.504,0.624,0.875,0.735,0
"BIB","27","TLW","NL",529.28,527.1,382,484,399,494,428,486,379,339,386,533
"BIB","27","TLW","PT",1866.05,1736.71,2214.21,2095,1743.48,2196.77,2346.46,2842,3463,3333,3538,2583.5
"BIL","27","TLW","ES",1.35,6.65,4,13.69,3.71,5.82,2.07,3.72,2.03,3.02,0.91,2.9
"BIL","27","TLW","FR",0,0.17,0,0.01,0.51,4.94,0.3,0,0,0,0,0
"BIL","27","TLW","GB",0,0,0,0.01,0,0,0,0,0.01,0,0,0
"BIL","27","TLW","PT",0,0,0,0,0.02,4.12,10.18,1,9,1,3.01,2.4
"BIS","27","TLW","FR",0,0,0,0,0,0,0.11,0,0,0,0,0
"BLB","27","TLW","ES",5.11,2.45,10.1,3.61,0.33,0.6,1.45,1.4,2.1,24,30.7,15.2
"BLB","27","TLW","PT",27.95,20.48,17.21,28.59,29.22,31.78,41.71,99,70.01,68.02,102.02,47.41
"BLE","27","TLW","DK",0,0,0.15,0.7,0,0,0,0,0,0,0,0
"BLE","27","TLW","ES",0.02,0.03,0.02,0,0.02,0,0,0,0,0,0,0
"BLE","27","TLW","FR",0.02,0,0.08,0.06,0.09,0.03,0.54,0,0,0,0,0
"BLF","27","TLW","FR",0.16,0,0.03,0,0,0.1,0.26,0,0,0,0,0
"BLF","27","TLW","IS",0,0,37,0,0,0,0,0,0,0,0,0
"BLI","27","TLW","DE",1.54,7.33,5.06,7.79,9.06,3.05,6.08,3,0.3,0.5,0,22.42
"BLI","27","TLW","DK",0,0.63,0.84,0.22,0.4,0.38,1.36,0.52,1.22,2.02,5.02,48.01
"BLI","27","TLW","EE",0,0,0,0,0,0,0,0,0,0,7.1,2.6
"BLI","27","TLW","ES",269.22,298.19,283.68,272.17,452.21,325.18,453.03,538.81,621.22,1096.03,127.9,189.7
"BLI","27","TLW","FO",935.236,1168.052,770.268,1096,1089,1517,2276,2238,1214,1168,2080,2051
"BLI","27","TLW","FR",1033.61,1103.93,1139.69,1780.68,1756.04,1649.77,1668,2528.9,2654.4,3064.71,3136.63,3130.6
"BLI","27","TLW","GB",653.59,289.09,394.66,309.89,221.4,48.3,76.35,385.6,364.7,228.06,298.63,498.05
"BLI","27","TLW","GL",3.7,0.2,65.497,1,4,0,0,0,0,0,0,0
"BLI","27","TLW","IE",0,0,0.08,0.23,0.48,0.12,0,0,0,0.1,2.6,4.4
"BLI","27","TLW","IS",651,920,1735,1589,2769,4206,5904,6376.9,4129,3654,1998.6,1734.4
"BLI","27","TLW","LT",0,0,0,0,0,1.98,0,0,0,3.7,9,9
"BLI","27","TLW","NO",243.68,243.08,535.49,193.4,278.44,324.7,323.62,525.5,392.03,407.51,467.03,366.03
"BLI","27","TLW","PL",0,0,0,0,0,0,0,0,0,0,0,0.2
"BLI","27","TLW","PT",0,0,0,1.22,0,0.01,0,0,26,22,15.01,5.21
"BLI","27","TLW","RU",0,0,0,0,3,5,0,47,16,122,37,21
"BLI","27","TLW","SE",0.1,0,0.07,0.1,0,0,0.1,0,0,0,0,0.2
"BLL","27","TLW","BE",334.9,388.4,366.4,309.3,315.1,317.1,340.5,350.2,335.5,359.71,419.31,389.6
"BLL","27","TLW","DE",78.68,93.25,117.93,71.06,63.93,73,61.88,86,65.71,55.4,56.2,60.2
"BLL","27","TLW","DK",287,291.49,261.95,180.29,221.92,242.99,276.24,263.31,274.21,317.01,233.02,237.02
"BLL","27","TLW","ES",19.77,15.8,14.26,14.61,18.88,19.3,28.03,27.31,25.65,23.05,19.4,25.1
"BLL","27","TLW","FR",478.12,501.53,482.31,445.55,464.42,481.87,566.24,589.1,509.1,337.93,555.64,514.3
"BLL","27","TLW","GB",449.39,512.61,430.56,383.65,385.2,408.6,404.12,404.5,333.18,359.11,428.66,393.12
"BLL","27","TLW","GG",1.585,4.013,5.4,10,8,10,11,11,10,13,11,13
"BLL","27","TLW","IE",109.61,120.78,86.8,71.53,75.23,83.16,61.92,72.23,66.51,72.91,85.01,109.21
"BLL","27","TLW","IM",13,0.107,0,0,0,0,0,0,1,0,0,0
"BLL","27","TLW","JE",1,1.622,3.551,3.481,3.412,2.333,6.61,3.921,2.94,2.529,2.413,1.091
"BLL","27","TLW","NL",1006.27,973.2,1172,858.5,973,1085,1061,1074,788,653,858,771
"BLL","27","TLW","NO",9.46,8.89,9.64,17,13.41,22.58,20.81,12.86,18,23.5,24,28.01
"BLL","27","TLW","PT",51.61,38.79,36.23,40.93,41.57,37.26,42.5,50,33.01,26.01,20.01,35.4
"BLL","27","TLW","SE",27.79,28.89,21.62,11.5,13.3,15.4,13.1,16.1,33.1,29.9,22.2,14.61
"BLM","27","TLW","FR",0.19,0,0,0,0.24,0.49,0,0,0,0,0,0
"BLM","27","TLW","GB",0.01,0,0,0,0,0,24,0.9,0,0,0,0
"BLM","27","TLW","PT",0,0.75,0,0,0.23,1.55,2.64,0,0,0.01,0,0.01
"BLT","27","TLW","ES",141.13,489.3,256.14,253.06,160.54,0,0,0,0,0,0,0
"BLT","27","TLW","PT",103.22,149.09,25.76,158.39,37.8,102.79,387.56,656,436.01,385.01,830,863.2
"BLU","27","TLW","ES",226.24,145.48,67.94,39.83,85.95,17.93,20.89,33.9,63.5,112,142.9,194
"BLU","27","TLW","FR",0.07,0.02,0.05,0,0.68,0,0,0,0,0,0,0
"BLU","27","TLW","PT",33.48,32.22,26.09,35.51,15.94,18.4,18.03,17,21.01,19.01,20.01,15.31
"BOA","27","TLW","PT",0,0,0,0,0,0,0,0,0.01,0,0,0
"BOC","27","TLW","ES",0.02,0.04,0,0,0.01,0,0,0,0,0,0,0
"BOC","27","TLW","FR",2.52,13.59,3.36,0.01,0.29,0.03,0.17,0,0,0,0,0
"BOC","27","TLW","GB",0.13,21.45,103.71,37.95,4379.63,4884.3,2813.1,9413.9,0,0.01,771.7,0
"BOC","27","TLW","IE",2.78,17495.75,0,49.26,2612.87,19693.12,4011.1,9491.6,16948,7537.5,6283.7,7.2
"BOC","27","TLW","NL",198.89,442.6,458,0.7,0,0,0,0,0,0,0,0
"BOC","27","TLW","NO",0,0,0,0,0,2.94,11.27,0,1,0,0,0
"BOC","27","TLW","PT",7.08,0,0.27,1.51,0,0.11,0,0,0,0,0.01,0
"BOG","27","TLW","ES",7471.07,13412.92,8848.86,11184.17,10817.03,13219.05,7286.66,2379.2,1149.1,1082,786.21,1011.7
